text,sentiment
 we left ipad in a seat pocket filed lost item report received it exactly week late flightr is that a record unbelievable ,1
pls stop sending texts every mins saying my flight is delayed another minsit s been hrs i usually defend u but this is lame ,0
your airline is awesome but your lax loft needs to step up its game for dirty tables and floors ,0
you suck ,0
how about you stop cutting and pasting apologies and get some additional phone reps to do their jobs ,0
thx for showing me that your twitter appreciates me more than your employees sure another airline would like my nohotel ,0
cancelled flights flt from ewr no crew tells wife amp yr old to get to ny to catch to yyz good customerservice is dead ,0
 glad to see you know how to keep the money in your own pockets thanks for the voucher in return for lost bag ,0
airlines claims to have a low fare guarantee but they will not honor a lower fare that i found ,0
i dm d you anything you can do ,0
no worries your customer service gets a bad wrap but just spoke w agent who saved me huge amounts of time amp apologized for yesterday ,1
yes but taking two days to get bag delivered missed a full day skiing because of this ,0
my flights tomorrow were cancelled flighted cannot do anything online and cannot get through on phone help ,0
was not frustrating well not in any way relate flightd to y all anyway impressed that i made it ,1
i have been on hold for an hour now 9 as i type this ridiculous all i need is the link to the chart that has routes time ,0
i am sharing it to the public i fly times a year and sitting now on the tarmac in fll your staff is the worst i ever met ,0
my boyfriend was supposed to be home saturday but his flight from dc was cancelled flightled yet again please get him home ,0
spending my birthday night with you daldca get me home ,0
said that aa does not provide inflight wifi on the routes to china based on some federal laws but united does why is that ,0
trying to get through by phone to confirm that funds from a cancelled flightled reservation can still be used in the future can u help ,0
i m cool with weather delays etc but lying and deceiving passengers to keep them from changing is reprehensible yousuck ,0
why cannot you handle your customers needs cancelled flightled flight number leads to a quick goodbye very sad ,0
stop ur bs promos of anywhere starting at 9 i click and everywhere i had i would fly the only place thats 9 is cle nothanks ,0
flight from bhm delayed hrs connect flgt left us in clt at a motel ,0
getting sorted thanks ,1
joined silver preferred because i heard customer service was so great pity i was misguided ,0
last flight was cancelled flightled then it was hours to change a light bulb now sitting here waiting for maintenance unreal ,0
why is customer relations still not open in texas ,0
a big thanks to the gate agent flt keeping us informed of the delay greatcustomerservice ,1
did you guys get rid of the functionality on to put a reservation on hold for hours i do not see it ,0
actually it landed in bwi minutes ago she is stranded but i have friends to help you failed big time on this one ,0
dm sent this lack if customer service is getting ridiculous ,0
thank you so much i was not sure since in know the limit is ozs excited to fly with jetblue ,1
your customer service today was deplorable there were plenty of ways u could have gotten us on that flight badcustomerservice ,0
tisk tisk rude flight attendants yet again i cannot hang my suit up because i did not buy first class when will i learn ,0
we had four scheduled flights on this reservation and literally did not take one unreal ,0
 that s unusual means we screwed up but will never admit to it goingforgreatnessfail ,0
your assistance yesterday when u cancelled flightled our flight was to give us a hotel hotline shame on you ,0
thanks for getting us to nyc jfk really safely  but srsly how long does it take to get our checked bags eternity ammisery ,1
ok thank you ,1
just landed in phl row 9 window cover on n sw could use some luv ,0
i believe it has it is irina on the flipside super disappointed that eatup cafe is not available on this bos  gt sfo flight today ,0
first class all the way headed to ,1
can you dm please in regards to update on lost bag please ,0
you are running hours behind replying to anyone via twitter this is beyond unacceptable i am running out of time ,0
 delayed due to customer service huh ,0
why was i forced to check my rollaboard on ua plenty of room in the overhead next to my seat ,0
very poor customer service i will think again befor flight booking problems another united flight ,0
i keep thinking this is a massive practical joke and someone is gonna appear out of thin air and take me to reno tonight ,0
thank you but it is sad that she could not talk a real person amp kept getting disconnected by an automated msg ,0
if i try and call your reservations line will someone answer the phone now or will i be on hold for an hour again ,0
hey left my computer bag w computer inside in united filed online report no response ,0
my wife sarah stocker did also called but could not connect me to customer service ,0
 and another sent him to the wrong line oh and the kiosks were not working thanks ,0
i would like a refund for this flight they delayed the flight times i feel like you are making fun of us ,0
continuing you record of never having a flight leave on time add up how much time with with my family you have cost me jetblue ,0
then you better holdon  everythingsgonnabealright our brandloveaffair https t co kn geep truebluelove travel business ,1
delayed more and more these days mco gt iad fingers crossed i make my connection home to albany united k ,0
so excited for my first cross country flight lax to mco i have heard nothing but great things about virgin america 9daystogo ,1
i did not want to cancelled flight i wanted to take someone off and keep my price held at at am today now ,0
understood just frustrating you buy early bird check on the day they go on sale at am and get mid b feel ripped off ,0
my mom tried also that was not the reason they would not change it you all literally said that you had you would rather have an empty seat ,0
cancelled flighted ,0
no the flight was not until 9 pm but it has it is already been delayed ,0
no ua finally cancelled flighted after hrs of delay the replacement flight leaves late flightr than this one was scheduled tomorrow not cool ,0
yes i am 9 rno departure at 9 on w connection at dfw to lga i can do the am to lax and then to jfk ,0
on hold with   flight from dsm to dca was cancelled flighted know when it will fly ,0
you have now put me on a ba flight  can i get access for for the lounge been at ord for hrs now and still have to go ,0
 reflight booking problems for the following day is unacceptable dming you that and our phone number ,0
 thanks for making new direct flight to san francisco ,1
have a great week ,1
i have the app  after my nonsense flight cancelled flightation yesterday i was not able to use the app or kiosk today hour long line ,0
good luck i have been waiting a week ,0
yes but you did manage to lose two of our bags horrendous airline ,0
 rd connecting flight delayed but still cannot make it amp still unable to speak to a real person ,0
i have been tryng to rsrv a flight over the phone over the past days and keep getting an automated message to call back ,0
you need to redeem yourself i lost respect for you tonight lostbags filmjobnoequipment ,0
it has it is too damn cold to be sitting on this runway with no heat ,0
you have amazing staff amp super helpful as i just ran the princesshalf they have spoiled me with comfort ,1
hey so many time changes for ua we going tonight or what mia  ewr ,0
never fails to have delayed flights ,0
i will be on this plane while on the ground longer than i will be in the air us ,0
my mother had overheard a personnel ask the attendant if the passengers really knew what was going on and the attendant said no ,0
been trying to speak to agent for hrs about my cancelled flightled flight but reps always busy how do i get ahold of you ,0
 handed a slip of paper amp said to call have called x day trying to get it sent still layover airport have that ref tho ,0
fuck you and your closed premier access lines at ord probably gonna miss my flight start treating your customers better ,0
maybemange the airline alittlebetter arrived at lax and no gate howisthatpossible always the same thing w u ,0
the so below skilled staff and inadequate system just deleted my return from houston to norway shoulder shrugging is all you do ,0
just want the money i paid for early bird refunded noone seemed to be able at three different sw should have that worked out ,0
bad weather should not mean bad service ,0
horrible service luggage got destroyed on flight and woman at baggage service was so rude did not help at all ,0
hahaha if they were not an american company i would say this was great sarcasm ,0
why the hell u left alliance and joined world is beyond me not a smart move time to start looking at other carriers ,0
hi just wanted to see if you have any new routes planned this year for newark love flying you guys and hope to do so more ,1
in ord hotel issued to my yr old tickets needed fixing again another hour and agents l r nightmare still not over ,0
and that plane was staying overnight at the next airport  roc u can make up min in air but instead of waiting u leave early ,0
website says my flight is on time it leaves in min and nobody has boarded yet pathetic needtobehonest ,0
full to capacity i also pid extra for these seats perhaps the crew could be more helpful ,0
my wife was with our dog they would not even let her out off the plane my daughter was at newburgh lives close by so wrong ,0
my phone has been on hold since midght fkn hrs of hold unacceptable ,0
i have been loyal to southwest from the beginning but very unhappy about your devaluation ,0
it has it is more than technical problems frustrated answerthephone res on hold and cannot get thru to use a credit to pay for it ,0
been on hold for an hour i need to rebook my flight that was cancelled flighted help ,0
yo you need a new website really badly this day and age ,0
i will never fly with you guys again i am stuck in memphis another day called to be credit something anything ,0
cust svc means nothing so disappointed trying since a to speak to a human i get bad weather not bad service socialtantrum ,0
this team added mins on turnaround ,0
yeah we figured it out thanks ,1
the worst flying experience i have ever suffered through i had i would appreciate my money back ,0
then en route to the airport the rebooked ticket was refunded ,1
trying to get my flight changed through dallas calling your number just says thanks for calling and hangs up guess i am stuck ,0
thanks for not telling us our flight was cancelled flightled not helping us in anyway and ruining my birthday worstcustomerservice ,0
this is with regard to a flight from a couple weeks ago i am very frustrated with your policies amp expressing that ,0
not cool to announce a flight delay when everyone is checking in a hour delay bdldca with a staff offering no help ,0
and even worse by the time you responded to my tweets i took two flights over five hours and that was the quickest response ,0
that is the height of rudeness and without question the worst customer service i have ever experienced ,0
a she has she is an international her phone is on the fritz i had to get to chicago from nearly hrs away to figure everything out ,0
i was not asking for a full refund but delaying me hours and giving no reason should be enough to give partial credit ,0
yea a refund your airline ruined our trip ,0
seriously ua delayed because of the copilot is not here for hours and he is only flying from raleigh disappointing ,0
on top of this a csr went ahead and hung up on me after i called united to discuss this ,0
 but if customer service ment anything to you you would try quoting policy is never effective customer service ,0
it was me who had the problem won flight ua i called and rebooked myself found my own hotel and taxi ,0
i am not booked on a return flight ,0
just confirmed a seat crisis averted beers will not be missed now ,1
they held the flight for our group of nearly people ,0
no wifi on this flight so we cannot tweet you our oscar party pics at ft bluecarpet  sea bos ,0
yes i have been waiting for four hours and no one has been able to help me ,0
your staff at rsw working the sliver airlines desk is not helpful we can not get any information about our flight ,0
are your earnings so low that checkin people have to also be on tarmac loading bags jan ,0
you are trying to solve problem of your own making charging for checked luggage forces checking at gate brilliant ,0
gold star for united change my flight miss all connections but cannot accommodate me until a much late flightr arrival timenot happy ,0
all good now going to make it to boston on time i am actually on your wifi right now ,1
ta off site at thelodge should be a fun day ,1
 thanks she submitted a damaged bag complaint online is there anything else we can do goodcustomerservice ,0
flight 9 from jfk to charlotte then from charlotte to birmingham previous flights to hsv were cancelled flightled ,0
you are lightyears ahead of the security control at newark airport they wasted precious mins w bad efficiency frightening ,0
your website is a complete joke when using safari ,0
 what a disaster flight 9 missed passenger count by since it was done manually really ,0
i need assistance due to your incompetence i need to reschedule a connection i will never fly again ,0
took me hours to book flights yesterday due to system errors between you and paid extra due to time lapse ,0
hello i have a question for you and your phone lines have jammed ,0
things happen it has it is ok just wish i was on the beach and not in the airport ,1
have u seen any of the messages the past hour ,0
sure thing ,1
i got a new reservation for tomorrow thanks ,1
thanks for the quick response fingers crossed the plane gets here then ,1
anna palm springs gate 9 deserves a medal handled ppl missing flights like a pro ,1
thank you for dishonoring my upgrade and putting me in a seat i did not want all while not even notifying me great k service ,0
pure anarchy on flight to slc people walking in with nothing packed in bags with arms full of stuff getittogether ,0
 would be nice if you could actually talk to the reserv team it just hangs up on you and has been since last night ,0
btw thanks for responding quickly ,1
 done ,1
you are the reason this whole travel experience has been a nightmare ,0
i guess that has that is not the busiest route so based on traffic fuel costs regional jet is the decision but still not great travelers ,0
the fact that u see black history month months a year is honorable we will be an economic base for corp like u in future ,1
same exact flight too love jetblue really want to fly with ya ll but that has that is a little pricey for basic not mint bos to sfo ,1
that has that is interestingagent told me so sadly another booked passenger did not make it to gate by push back so i made it on ,0
adding reservation to ios app does not show up on desktop site when logged in and miles cannot be redeemed for upgrades thru your app ,0
used to love you but you keep rescheduling my flights southworst ,0
it was eventually explained that weather conditions too extreme to get luggage off planes will be sent on but i will not be for days ,0
fail you cancelled flightled our flight frm gjt and then used our reserv home to iah from sea for reflight booking problems w out our permission ph rps ,0
final destination was booked through united but with quantas united has not yet contacted auckland i am unaware of case id number ,0
we are here at mco thanks ,1
very poor customer service thru out each of my cxl flights i should have flew ,0
you have been officially displaced by for better flight experience pleasant cabin crew and timeliness ua m switching ,0
they let us board again but will we fly this time who knows shouldhaveflowndelta ,0
you guys are horrible first we get stuck in the snow for a hr in ewr now sitting in cmh saying it could be min for a gate ,0
i just think if i am staying w your airline amp rescheduling a flight i should not absorb a fee that is the cost of my flight ,0
it is too late flight for reflight booking problems now  it is morning already and i no longer need a hotel room ,0
flight delayed at jfk hours then hours then hours now it has it is back to hours with no explanation or apology ,0
i waited on hold for two hours only to have my call really unreliable ,0
not my luggage ,0
not sure however my ticket included one checked bag therefore this charge was extra and completely unanticipated ,0
what is a personal email that i can contact i have a complaint that you should know about ,0
would help if you flew bigger planes into tlh all my team mates made it to the training but me ,0
the two women workng phl bag check term c et should be fired for being rude pushy and treating customers with disrespect ,0
good grief flight cancelled flightled been on hold since ,0
flight home cancelled flightled today any way we can get another flight to nyc from texas hour wait for a call back from airline ,0
me because it might not be so urgent for you but it really is for me ,0
amazing to me that we cannot get any cold air from the vents vx noair worstflightever roasted sfotobos ,0
 thank you for a wonderful global first class flight on your to fra great service cont ,1
flight cancelled flightled to denver service agent offered me a non jet salt lake to denver or red eye out of atlanta then hung up on me ,0
thx  fingers crossed they are found ,1
just learning about your famous apology in social media marketing is twitter an asset for jet blue now ,0
your exchange credit policies are worthless and shadier than the white house dissatisfied to the nines right now ,0
will do i appreciate the response ,1
thnx for quick reply but do not think you can assist our intl grp will be put to considerable inconvenience today ,0
i am going to need you to answer your phones being on hold for an hour is not okay ,0
thank you for taking care of me with a drink since my inflight entertainment was not working goodcustomerservice ,1
why is does it seem to be impossible to contact anyone at your airline to get an item left on board a plane min after deplane ,0
come on reopen at ord and clear your growing dc backlog ,0
where is my bag i am in mexico about to go build a house amp my suitcase never got on my flight from cle w me i need it san 9m ,0
appreciate the calls when flight s delayed but the recorded msg is tedious amp just goes on amp on i vote for texts if practical ,0
flight to nashville was cancelled flightled how do we another flight i have been trying to call amp cannot get a human ,0
awesome bestairlineever ,1
is offering to reroute my sfo flight to lax might be geography class time ,0
cutest salt and pepper shaker ever just when i think you guys cannot get any better you just do ,1
thanks for the upgrade so far so good keepitup ,1
 delayed blue skies all over whyisusairalwaysdelayed ,0
us feb hour on plane when us airways representative kim y enters deteriorating picture unhelpful with no assurances ,0
i have witnessed a manager named denise yell at different customers with my same issue rude ,0
is the best airline hands down amazing customer service bags free and affordable flights happycamper ,1
aa mins for priority bags to arrive now late flight for evening plans delta min bag guarantee anyone ,0
is there a or a time bracket i can call to fix this problem i ve been attempting to fix this contact information issue for days ,0
us stated their issues as no one around to close said door more strange now we are not hearing from pilot for long periods ,0
i have been tryin to use my voucher to book a flight the last days lines are busy plse help me the flight may go up ,0
i would be willing to pay anything to change a flight does not help ,0
when will airfare be available through december of this year i have major trips coming up and i am anxious to book them ,0
you have the worst reps at jacksonville airport so rude and totally not helpful at all ,0
you are really trying me today ,0
you guys rock ,1
you cx ed almost the entire east coast flights all other planes are taking off any traveling fine i need to get to nev asap ,0
i have been trying to call you for days and every time the system is overloaded and disconnects really a global company help ,0
 the wheel was broken when we got it we swear ,0
clients got zero in years career never thought this was possible suitcases worth thousands of in italian clothing robbed ,0
how is it possible that you do not have a call back service an automated message telling us to call back late flightr is so unhelpful ,0
thx for losing my bag how hard is it to care for a bag w priority on it why do u cont to not care for ep s ,0
pretty impressed with the in flight entertainment full touch usable smooth good selection ,1
 once again your customer service at the providence airport was horrible do you actually care about customers or just making money ,0
hmmm seems like this could be something to be changed to be more flyerfriendly ,1
ok gotcha ,1
 hours sorry do not get it oh well screw the weekend in az right eat the hotel no problem ,0
empathizes w my disappointment that stclass flight w nonworking entertainmnt is worth unfriendlyskies ,0
ok so what is being done about my experience my family had a terrible experience for it has it is kind of like being robbed explain ,0
flight us from ric dfw was cancelled flightled yesterday amp i was on hold w cust service from  pm est hours no answer ,0
just hung up on me again another waste of an hour of my time how am i supposed to book a one way award flight badwebsite ,0
so when your plane does not work the luxuries i paid for go away but you keep my money i need that biz model ,0
i shall i will be sticking with in the future no change fees first bag free and stellar customer service ,0
u guys have b kidding no help anywhere hour delays still no answers bad cust service idlovetoask ,0
every time my united flight got delayed this is a big frustration ,0
is an airline where you pay extra to get a better seat but by the time you board your overbooked flight there has there is no overhead space ,0
love the team running gate e9 at las tonight waited for a delayed flight and they kept things entertaining ,1
i love the dancing little richard cool beans ,1
great flight ,1
when are you releasing your flights for september just found out you fly direct lbb to las so excited tripofalifetime ,1
 hi janet in customer service i am calling you back and have been sitting in que for mins plz pick it up frustrated ,0
you are failing diverted stuck and no communication make a decision and let us go flight 9 ,0
and the number your agent gave me to call says you are not open and the main number goes to a computer saying it is delivered ,0
need to retrain us lead flight attendant and gate agent at arrival mke horrible attitudes toward helping customers ,0
appreciate it ,1
why would it take that long my credit card company says the card has not been charged yet should it take days for this ,0
thank you loyalmosaicmember ,1
 i was on today to yyz i had a bit of a bag issue that was cleared up beautifully thank you to all of the check in ,1
after a long wait of over an hour my mother s bag did not make it we filed a report and are waiting thanks for your help ,0
 you kind of screwed my day up at least it was outbound but you did save it by stranding me in a ,0
already filed a report personally at the airport however they have no idea where it is even with a tracking number ,0
cancelled flightled our original flight to aruba now on the way home we were told we do not have seats never flying again ,0
do it again i will now miss one or probably both our aspen events fail ,0
hey let flight get to the gate hours late flight and no fate with dozens of kids on board ,0
 s new flierfriendly is garbage just had to cry to get attendant to find a place for my medical supplies with limited overhead ,0
please get me off this plane ua ,0
no baggage crew update your staff is incompetent with no answers after hours ,0
only the jfk baggage office is open to help rebook all of us on cancelled flightled flight to dca shameful ,0
thanks to i get to go to the destinationdragons show this weekend in utah thankyou ,1
bad weather is understandable but your own pilot said that over people called out and that zero bags are on the plane ,0
finally ,1
there is a full flight of customers sitting on the plane waiting for baggage to be loaded on aa in dfw  why hour delay ,0
contacted yesterday and was told that there has there is nothing they can do  they suggested i email for some compensation cust service ,0
can you pm me w answer if flt to is still on time been on ground over an hr w no gate need help pls ,0
you delayed me for hours in chicago and still managed to lose my bag really not happy ,0
you neglected to mention the fee per ticket i had a medical reason and still have had to jump thru hoops ,0
he needs to get to home the th they are telling him it shall it will be the th night is there compensation or anything that can be done ,0
exactly how i have been disconnected times ,0
flight passengers stuck on plane in philly where is the gangway we cannot hear the pilot ,0
 blamed weather lol no wind and not a cloud in the sky delayed both ways x ru kidding me to charge me for lb w delays ,0
please try it yourself  call    and see what happens then you shall you will understand allrepresentativesbusy nooption ,0
hawaii get me somewhere warm amp i can find some good to do flyitforward ,1
happy tt to my friends hope the weather is not causing you too many headaches ,1
the sign in screen had major mobile issues the responsive design was not working properly my nexus ,0
 does that mean you do not have a policy for destroyed luggage ,0
now this ,0
this is ridiculous it has it is been hours on hold to rebook cancelled flightled flight ,0
if it has it is in my backpack why do i need to see agent ,0
is anyone doing anything there today website is useless and no one is answering the phone ,0
flight fll to sfo no speed line even though i paid for it no coffee on flight and my non stop now has an unscheduled stop ,0
definitely a compliment i really thought my bag was lost after it was sent on to another airport in the end i am a happy customer ,1
i am so upset that my luggage was damaged and the rude employee at the laguardia airport did not help ,0
love it as always ,1
can you tell me how to file a claim for clothing that had to be purchased ,0
could not have possibly messed up our trip anymore than they did thanks for being such a terrible airline disappointed ,0
i requested a mileage challenge for status several weeks ago online but have not heard back how do i get help with this ,0
jetblue never disappoints ,1
never let us me down every single flight gets delayed ,0
headed to nyc from clt funny to hear all phones ring at once and then the entire plane groan has happened twice more ,0
 very upset with my hometown airline stuck in den flt cancelled flightled others here with me got new flt info ,0
officially a customer support game of wills hr on hold who has who is the loser here oh yeah that has that is me ,0
yay for glitchy tracking system my bags made it to my destination and not laguardia like the app said ,0
 just for update that gate got moved to complete opposite end of the terminal airline is a disaster ,0
i spent an hour on the phone with them and got no where at all ,0
mellani b and whole team in columbia sc are absolute superstars incredibly helpful ,1
 hours hours four hours it has it is like this is a joke to you ,0
why is not the flight status updated to delayed ua no board ,0
i think you should board from the back of the plane whatstheholdup chitocle ,0
 hour cross country morning flight and you have no food badservice ,0
yes i have ,0
since when does a maintenance problem and missing flight crew equal delayed due to weather i am confused since we had sunny skies ,0
i had i would just like to know where my bag is when i shall i will get it and why i do not have it already no accountability from cust service ,0
fair enough united everybody is doing the best they can although that slight delay is turning into a cancelled flightlation ,0
never can get a flight out on time hour delay earlier another hour delay on my connecting flight makes straight delays ,0
take a look at status of sitting at ord this am not are not cool yo ,0
when will it be marked completed i am scared i am going to lose my reservation or my money is going to be refunded ,0
 unitedairlines so my feedback is for your benefit not for you to correct your atrocious customer service good to know ,0
or i am sure her business will go else where for airline travel her name is kathryn sotelo ,0
i thought about moving a lot of business over too but first impressions count glad it was miles and not cash ,0
you could have just said we do not know ,0
i cannot begin to tell you how slow my plane s wifi is i cannot even pull up an email what am i paying for ,0
your customer service is crap ,0
i attempted to book a ticket times and kept getting a error message i hope you did not still charge me ,0
thank you alicia exceptionalservice ,1
 you may dislike delays but i paid you we had an agreement that i paid you and you got me to my destination at a certain time ,0
change made in just over hours for something that should have taken seconds online i am not thrilled loved the agent though ,0
hell is terrible gate agents and a three hour wait at the gate ,0
worked now ty ,1
nothing important to do why was i told to wait in the line patiencerunningout ,0
your gate attendants in abq are awful as was your service you should be ashamed terrible experience here from start to finish ,0
julie andrews all the way though was very impressive no to ,1
i will do just about anything to go to the vegas show please man ,1
good to be back see you all again in several weeks ,1
whoa no tag and you still saw my tweet flight jfk to chicago trying to get home to see my little brother wrestle ,0
i love jet blue ,1
it was customer service like i have never seen before kudos to your organization ,1
 thankyou the dalaus route makes my day ,1
thanks line moved quick already done ,1
 thanks for the shoutout candace enjoy the ride always i adore american airlines ,1
new stroller the travel credit does not help cover the cost of a new stroller your crew ruined it and therefore should ,0
ann marie at lga is the best ticket agent ever excellentcustomerservice ,1
your service need work  check out this bush airport customer service line last nt unitedagainstunited ,0
the slowest boarding process i have ever experienced and rude customer service agents ,0
thanks for taking it up a notch leinenkugels craftbeer goodflight norfolk ,1
since i have an international connection at 9am i am hoping for the same thing ,0
i finally got through on the phone after a hour wait time ,0
 weeks late flightr and i still have not received my miles from the mileageplus gift card starbucks card i handed over ,0
i have been trying to set up my phone interview for days and hoping the position will not be filled because the link does not work ,0
in characters yea right thanks for patronizing ,0
so the  hrs that you told me was what a guess they have apparently had the bag hrs now and no call ,0
listening center is open seating just like on their planes ragandisney ,1
just got mine now where to go ,1
offers atlanta unprecedented perk ,1
i have been trying to call to cxl a reservation for tomorrow due to needing surgery this week  cannot get through ,0
yes it has it is february bad weather happens every winter if you guys do not have the business sense to forecast that i am at a loss ,0
either is fine however plundering my hardearned dollars is not fine ,0
yes but i had to pay more for another flight to get me out tomorrow since there were not anymore for tonight not fun  ,0
customers customer service ,0
i think we both have the same status nothing i think there was a bug in your search system ,0
i have applied more then once to be a member of the inflight crew team im interested flightattendant dreampath g ,1
houston hub aa t employee the bag is not here it made it to pa before me oops not your problem ,0
stranded in miami because your automated system keeps hanging up on me for two days help ,0
boston is all self service swipe yr own boarding pass at gate most difficult tag your own bag not easy improvetheprocess ,0
so plot thickens we are on plane but no ground crew to get us off gate apparently under the weather in large numbers ,0
truly the best in customerservice if something goes wrong no matter how big or small the issue was they fix it thank you ,1
gate agents disappeared and customer service agents were miserable and unhelpful letdown neveragain ,0
you think i have not tried that multiple times the status of my bag is that it should have been here yesterday so disgusted ,0
always nice when a customer service manager threatens customers standing in his understaffed lines for the last hour ,0
it was never really lost it was put on another flight with my knowledge we just were not sure what flight but i have it  ty ,0
next time you promise an ontime departure you should stick to it instead of stuffing us in this sweat box with no air ,0
i do the best airline wifi ever thank you ,1
looks like our bag has been rescued thanks ,1
more of the insane treatment by your customers ,0
dm sent thanks for the help ,1
love them always get the best deals ,1
never in my life have i dealt with such poor customer service irresponsible staff and lack of care lgaiah day baggage in nc ,0
you have a company policy that refuses employees to speak to other employees over the phone interesting ,0
welcome anyone who works in those conditions deserves a thank you even though i am other side of atlantic lol xx ,1
thanks for replying i sen t my conf i love aviation and southwest and all i wanted for my th was to fly swa for the day ,1
bumped me to preboard on both flights because i am fat whatever the reason thanks ,1
seems very likely ,1
there has there is is nothing there because apparently i have to connect them for that to be true ,0
i was on hold for over minutes and was talking to one of your employees i asked him for name or id and he hung up in my face ,0
reservation line will not let me speak to a representative because they are too busy they literally disconnect you why bother ,0
thanks for the reply something is off with the phones becuz after dropped calls at hours on hold i got through on ring ,1
